stdio, clock_getres(), clock_gettime(), close(), closefrom(), dup(), dup2(), dup3(), fchdir(), fcntl(), fstat(), fsync(), ftruncate(), getdents(), getdtablecount(), getegid(), getentropy(), geteuid(), getgid(), getgroups(), getitimer(), getlogin(), getpgid(), getpgrp(), getpid(), getppid(), getresgid(), getresuid(), getrlimit(), getrtable(), getsid(), getthrid(), gettimeofday(), getuid(), issetugid(), kevent(), kqueue(), lseek(), madvise(), minherit(), mmap(), mprotect(), mquery(), munmap(), nanosleep(), pipe(), pipe2(), poll(), pread(), preadv(), pwrite(), pwritev(), read(), readv(), recvfrom(), recvmsg(), select(), sendmsg(), sendsyslog(), sendto(), setitimer(), shutdown(), sigaction(), sigprocmask(), sigreturn(), socketpair(), umask(), wait4(), write(), writev()
rpath, chdir(), getcwd(), openat(), fstatat(), faccessat(), readlinkat(), lstat(), chmod(), fchmod(), fchmodat(), chflags(), chflagsat(), chown(), fchown(), fchownat(), fstat(), getfsstat()
wpath, getcwd(), openat(), fstatat(), faccessat(), readlinkat(), lstat(), chmod(), fchmod(), fchmodat(), chflags(), chflagsat(), chown(), fchown(), fchownat(), fstat()
cpath, rename(), renameat(), link(), linkat(), symlink(), symlinkat(), unlink(), unlinkat(), mkdir(), mkdirat(), rmdir()
dpath, mkfifo(), mknod()
tmppath, lstat(), chmod(), chflags(), chown(), unlink(), fstat()
inet, socket(), listen(), bind(), connect(), accept4(), accept(), getpeername(), getsockname(), setsockopt(), getsockopt()
mcast, setsockopt()
fattr, utimes(), futimes(), utimensat(), futimens(), chmod(), fchmod(), fchmodat(), chflags(), chflagsat(), chown(), fchownat(), lchown(), fchown(), utimes()
chown, chown()
flock, fcntl(), flock(), lockf(), open()
unix, socket(), listen(), bind(), connect(), accept4(), accept(), getpeername(), getsockname(), setsockopt(), getsockopt()
dns, sendto(), recvfrom(), socket(), connect()
getpw, getpwnam(), getpwuid(), getpwnam_r(), getpwuid_r(), getpwnam_shadow(), getpwuid_shadow(), setpassent(), getgrent(), getgrnam(), getgrnam_r(), getgrgid(), getgrgid_r(), setgroupent(), setgrent(), endgrent(), getgrouplist(), initgroups()
sendfd, sendmsg()
recvfd, recvmsg()
tape, MTIOCGET, MTIOCTOP
tty, ioctl(), TIOCSPGRP, TIOCGETA, TIOCGPGRP, TIOCGWINSZ, TIOCSWINSZ, TIOCSBRK, TIOCCDTR, TIOCSETA, TIOCSETAW, TIOCSETAF, TIOCUCNTL
proc, fork(), vfork(), kill(), getpriority(), setpriority(), setrlimit(), setpgid(), setsid()
exec, execve()
prot_exec, PROT_EXEC, mmap(), mprotect(),
settime, settimeofday(), adjtime(), adjfreq()
ps, sysctl()
vminfo, sysctl()
id, setuid(), seteuid(), setreuid(), setresuid(), setgid(), setegid(), setregid(), setresgid(), setgroups(), setlogin(), setrlimit(), getpriority(), setpriority()
pf, ioctl(), pf(), DIOCADDRULE, DIOCGETSTATUS, DIOCNATLOOK, DIOCRADDTABLES, DIOCRCLRADDRS, DIOCRCLRTABLES, DIOCRCLRTSTATS, DIOCRGETTSTATS, DIOCRSETADDRS, DIOCXBEGIN, DIOCXCOMMIT
